method,b,N,F_c,F_q
MLE,0,200,0.9854180904070831,0.7790233611884414
MLE,1,200,0.9898190769331782,0.7610100070016185
MLE,2,200,0.9883781936009234,0.7075837545323447
MLE,3,200,0.9809530101661526,0.6623881786782256
MLE,4,200,0.983654584650982,0.6485155095876683
MLE,5,200,0.9897805085884173,0.7630597436111815
MLE,6,200,0.9955299259372974,0.9177156957289415
MLE,7,200,0.9855178567704083,0.7014929521627432
MLE,8,200,0.9907508978622713,0.8881953637686001
MLE,9,200,0.9874635110949256,0.7043040106674455
MLE,10,200,0.9841741507841291,0.7061458930360122
MLE,11,200,0.9834410750645441,0.8327605691211398
MLE,12,200,0.9906893328417474,0.7666014142207429
MLE,13,200,0.9844618646530849,0.7088612474213845
MLE,14,200,0.9862973475330089,0.6879525676975209
MLE,15,200,0.9789448935073143,0.6153033522050592
MLE,16,200,0.9856013953198723,0.7065181118120872
MLE,17,200,0.9874852281002987,0.6627887068196565
MLE,18,200,0.9789828488892068,0.6799372386301834
MLE,19,200,0.9872774820596566,0.7395340356815248
MLE,20,200,0.9782072590169926,0.6986218313241414
MLE,21,200,0.987291167301148,0.682414593605536
MLE,22,200,0.9835120841742934,0.6525476936641856
MLE,23,200,0.9836576469296521,0.6575600722785515
MLE,24,200,0.9878887433706847,0.7606557392935731
MLE,25,200,0.9883735872423011,0.7748605621523478
MLE,26,200,0.9862505352265728,0.7470086491892826
MLE,27,200,0.9837231200312311,0.7667017782476553
MLE,28,200,0.9873587712861885,0.823808195075497
MLE,29,200,0.9811101601598681,0.6299326786427251
MLE,30,200,0.9855095842934819,0.7007647978565217
MLE,31,200,0.9874150530728838,0.7670707439346934
MLE,32,200,0.9902612168265303,0.7773728881845434
MLE,33,200,0.9903515288046729,0.7841800034034342
MLE,34,200,0.9906569405188907,0.7131439548388749
MLE,35,200,0.9844175284524582,0.6741241390562569
MLE,36,200,0.9859637053947738,0.671781932685598
MLE,37,200,0.9865305896613397,0.6759468986294568
MLE,38,200,0.9830543177091211,0.682328071511019
MLE,39,200,0.9808556442234206,0.8066483065925105
MLE,40,200,0.9867191688146383,0.7255691669678176
MLE,41,200,0.9803031416938361,0.5903134595481474
MLE,42,200,0.9789557315379565,0.6676581494198469
MLE,43,200,0.9782160896801854,0.767395441093236
MLE,44,200,0.9709948437362619,0.53034978884196
MLE,45,200,0.9842874377995586,0.799587628126286
MLE,46,200,0.9843451424040206,0.7018209165007613
MLE,47,200,0.9829319688827445,0.6747558784370487
MLE,48,200,0.9874927776939209,0.7224875539659991
MLE,49,200,0.9868266034886356,0.7309226090594262
