n_samples,Fc,Fc_train,run
300,0.9562061169686976,0.8370759895474099,1
500,0.9715187431096552,0.8853850796467194,1
1000,0.9653244269710876,0.94868056984058,1
2000,0.9667560919321904,0.9777763125227324,1
5000,0.9744738437864991,0.9916314089608144,1
10000,0.9895263206041788,0.9955532053090967,1
300,0.9472498939736392,0.7823051585715015,2
500,0.9545254574963774,0.8759136923013695,2
1000,0.9610765073662356,0.9506598170261044,2
2000,0.972079368740046,0.970725749581946,2
5000,0.9860695998832326,0.9915641311238976,2
10000,0.989907983747258,0.9963711090329556,2
300,0.9522433546617964,0.8136641898962215,3
500,0.9545916036241764,0.8854081657350297,3
1000,0.9654605184864112,0.9501069199646968,3
2000,0.9792383798757024,0.9736020072752664,3
5000,0.9835269349755328,0.9922949272321668,3
10000,0.9863561781685884,0.9955397535829312,3
300,0.9552173479757824,0.813266889646962,4
500,0.9566575435200438,0.8929710621778001,4
1000,0.9625786305608852,0.9408732819654012,4
2000,0.97636231044211,0.9728522236690148,4
5000,0.9860384789815178,0.9903848570402014,4
10000,0.989610530152482,0.9963126472993836,4
300,0.9642861376382376,0.8067273002400259,5
500,0.9513511015521964,0.8610482256997298,5
1000,0.9678626256792824,0.9401718689623793,5
2000,0.97679582641261,0.974054221579064,5
5000,0.985054958249637,0.9917296439759964,5
10000,0.9887893479263868,0.9960839436316434,5
300,0.9531422795471302,0.8028002400833338,6
500,0.9606254709142228,0.877289608897222,6
1000,0.9652542597575472,0.9356924409681796,6
2000,0.9675807627730127,0.9685275301842234,6
5000,0.9833514258581674,0.9897506788907208,6
10000,0.9870893838516626,0.9951444345781644,6
300,0.9555567264509376,0.8035321092917573,7
500,0.9747215238194564,0.8728201175706883,7
1000,0.9639648284600392,0.9410012891791326,7
2000,0.9770202946834576,0.9723438255680716,7
5000,0.9868292782063536,0.991837457334108,7
10000,0.986875625437954,0.9962907182439996,7
300,0.9467074878121486,0.8007004701373044,8
500,0.9589406693404202,0.8747612291917205,8
1000,0.959140910932123,0.9494376376346334,8
2000,0.9805405410705508,0.9754637537293388,8
5000,0.987108295885124,0.9910809463015564,8
10000,0.9866674414893116,0.9959646808096568,8
300,0.95668717752164,0.8281759775591362,9
500,0.9585210748556724,0.878603918958537,9
1000,0.966424861431718,0.937905290690036,9
2000,0.9816055014002062,0.9722605685155356,9
5000,0.985829147192245,0.9910778396497134,9
10000,0.990109914195256,0.9960844081652964,9
300,0.9488733872941536,0.7988557777826703,10
500,0.9719865289515928,0.8839158958585498,10
1000,0.961724098158895,0.9425368749154186,10
2000,0.9793077844089018,0.9733637431744911,10
5000,0.9824808378156992,0.9930363591995732,10
10000,0.986901002973083,0.996188890544568,10
300,0.9596831800141548,0.8210359340563835,11
500,0.9545420042386455,0.8885969263863008,11
1000,0.9648158981444964,0.9398452838533052,11
2000,0.9664749834216896,0.9718588276087552,11
5000,0.9797025146442118,0.9914478401118731,11
10000,0.9879035688471608,0.9952315275732476,11
300,0.9484361323202104,0.8003246687166518,12
500,0.96000644267881,0.8917715526157477,12
1000,0.9717264227920446,0.9418545119498848,12
2000,0.9785813068621876,0.9746284842866408,12
5000,0.9871088910408464,0.9910975803267924,12
10000,0.985838160873244,0.9959678733646486,12
300,0.9496847333798673,0.7985683930530977,13
500,0.9543225160301624,0.8847528720433784,13
1000,0.9771185217617292,0.9359476515053018,13
2000,0.97776219104948,0.9712216994716442,13
5000,0.9816595865309372,0.9915032852014578,13
10000,0.9862712293508312,0.9958630618868062,13
300,0.9504417274206332,0.7890011392919273,14
500,0.9644198980408892,0.8737867512709075,14
1000,0.9735405449492394,0.932132134033857,14
2000,0.980442195102977,0.9740232226840572,14
5000,0.9853619087338634,0.9909332736841086,14
10000,0.9888513733931932,0.9963169576077816,14
300,0.9566579485060552,0.8194456845306232,15
500,0.9609088915801252,0.8756553087303113,15
1000,0.963359254226675,0.941665661042761,15
2000,0.9697157657884924,0.9707641197950796,15
5000,0.9838014636774742,0.9917839618575384,15
10000,0.9877150487474232,0.995653997975134,15
300,0.959360504337828,0.80233614517814,16
500,0.9595298153175492,0.8798665151756668,16
1000,0.96650753825353,0.9388736504892682,16
2000,0.9643249973452364,0.9794061984295294,16
5000,0.985080907703767,0.9901341383848687,16
10000,0.9880534781536502,0.99563858309054,16
300,0.9456594911100912,0.7913088540927538,17
500,0.971469736601085,0.8802114501192174,17
1000,0.9742260164355392,0.935109425364907,17
2000,0.9719668603112416,0.9769094115034468,17
5000,0.9750008445117798,0.9914930496269576,17
10000,0.9875254398833564,0.9957281540170918,17
300,0.951365711060373,0.8063990589564135,18
500,0.952617165320254,0.8815384339396908,18
1000,0.9622221646882156,0.9382061033587792,18
2000,0.9752618495219076,0.9776558628958592,18
5000,0.9784102447048124,0.9914912048367852,18
10000,0.9880465652651,0.9961496595209216,18
300,0.9517085031788064,0.8030616630784253,19
500,0.9632087446418812,0.8978778161611949,19
1000,0.960173389419234,0.9345032820352822,19
2000,0.9775012908559796,0.975502812318322,19
5000,0.9813970283802884,0.991813217193484,19
10000,0.9846582765965683,0.9962788589463571,19
300,0.9444739399307458,0.7810874649358618,20
500,0.9592340715687084,0.8912205202397966,20
1000,0.9661283256120564,0.9401128448242816,20
2000,0.982992102910439,0.972234540037352,20
5000,0.9876109453809364,0.9901418613648092,20
10000,0.9874557615902892,0.9957936283678815,20
